,Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH,KhoiA00,KhoiA01,KhoiB00,KhoiC00,KhoiD00,KhoiD07
189,53000190,8.4,6.75,6.8,7.5,5.75,5.25,6.17,,,,,21.65,22.700000000000003,19.4,,21.950000000000003,20.950000000000003
190,53000191,4.6,7.0,3.8,,,,,6.5,7.0,8.5,7.33,,,,20.5,15.4,
191,53000192,5.2,7.75,5.0,,,,,5.75,6.5,7.5,6.58,,,,20.0,17.95,
192,53000193,7.6,6.5,5.6,7.0,7.25,6.0,6.75,,,,,21.85,20.2,20.85,,19.7,20.45
193,53000194,7.4,6.0,5.8,5.0,8.0,6.5,6.5,,,,,20.4,18.200000000000003,21.9,,19.200000000000003,21.200000000000003
194,53000195,6.8,6.75,7.2,,,,,6.5,7.0,8.5,7.33,,,,20.25,20.75,
195,53000196,8.4,9.5,6.4,6.25,7.5,8.0,7.25,,,,,22.15,21.05,23.9,,24.3,22.3
196,53000197,4.2,5.25,3.2,,,,,5.75,6.0,7.0,6.25,,,,17.0,12.649999999999999,
197,53000198,5.2,6.75,3.4,,,,,5.0,6.5,8.0,6.5,,,,18.25,15.350000000000001,
198,53000199,7.6,9.25,6.8,,,,,7.75,7.75,9.75,8.42,,,,24.75,23.65,
199,53000200,5.4,7.25,3.4,,,,,4.75,5.25,8.5,6.17,,,,17.25,16.05,
200,53000201,5.8,6.0,3.6,,,,,6.25,4.75,8.0,6.33,,,,17.0,15.399999999999999,
201,53000202,6.4,9.25,7.2,,,,,4.75,7.25,8.0,6.67,,,,21.25,22.85,
202,53000203,4.6,4.5,3.4,,,,,4.5,5.25,8.25,6.0,,,,14.25,12.5,
203,53000204,8.0,9.5,8.8,,,,,5.5,6.0,9.5,7.0,,,,21.0,26.3,
204,53000205,8.0,8.0,5.2,6.25,7.5,6.0,6.58,,,,,21.75,19.45,21.5,,21.2,20.7
205,53000206,5.0,7.0,3.2,,,,,3.75,5.0,8.0,5.58,,,,15.75,15.2,
206,53000207,4.8,7.75,5.2,,,,,6.0,8.0,9.75,7.92,,,,21.75,17.75,
207,53000208,6.8,7.25,3.0,6.25,7.0,7.5,6.92,,,,,20.05,16.05,21.3,,17.05,16.8
208,53000209,7.2,8.0,6.0,,,,,6.5,9.25,9.5,8.42,,,,23.75,21.2,
