Code,DiaLi,GDCD,HoaHoc,KHTN,KHXH,LichSu,ListGroup,NgoaiNgu,NguVan,Result,SinhHoc,Toan,VatLi
01000306,,,8.00,5.00,,,[],5.40,3.00,,3.00,7.40,4.00
01000308,5.75,7.75,,,6.17,5.00,[],3.60,5.50,,,3.80,
01000309,5.25,8.00,,,6.92,7.50,[],5.20,5.25,,,6.00,
01000310,6.50,6.00,,,5.92,5.25,[],,6.50,,,6.00,
01000311,7.00,8.25,,,6.92,5.50,[],6.40,7.75,,,7.40,
01000312,,,6.00,5.75,,,[],7.20,7.25,,4.75,7.60,6.50
01000313,,,6.00,5.92,,,[],6.40,7.00,,4.00,8.80,7.75
01000314,,,4.50,5.17,,,[],8.80,3.75,,3.25,8.80,7.75
01000315,,,6.00,6.58,,,[],8.60,7.00,,5.25,8.80,8.50
01000316,7.25,8.25,,,7.67,7.50,[],8.60,8.50,,,8.00,
01000317,6.50,7.75,,,6.92,6.50,[],7.40,6.50,,,6.00,
01000318,7.50,,,,,8.50,[],,6.25,,,6.80,
01000319,4.75,8.25,,,6.67,7.00,[],6.40,8.50,,,6.00,
01000320,7.75,7.25,,,7.33,7.00,[],7.20,8.00,,,9.20,
01000321,,,,,,,[],9.20,8.25,,,8.00,
01000322,7.50,7.50,,,7.33,7.00,[],7.20,8.00,,,5.80,
01000323,6.50,7.25,,,7.25,8.00,[],7.80,8.25,,,2.80,
01000324,8.00,9.00,,,8.58,8.75,[],8.60,9.25,,,8.60,
01000325,6.25,,,,,5.25,[],,5.00,,,,
01000326,7.75,8.75,,,8.08,7.75,[],8.60,7.75,,,8.60,
01000327,7.25,9.25,,,7.58,6.25,[],,6.25,,,8.60,
01000328,6.50,7.75,,,7.67,8.75,[],8.60,7.50,,,6.80,
01000329,,,4.00,4.75,,,[],8.80,5.75,,4.50,8.40,5.75
01000330,4.50,7.25,,,5.25,4.00,[],2.80,5.25,,,3.60,
01000331,8.00,9.00,,,8.33,8.00,[],7.60,8.50,,,8.80,
01000332,6.75,7.75,,,6.33,4.50,[],8.20,7.50,,,7.40,
01000333,7.50,7.25,,,6.92,6.00,[],6.00,7.50,,,7.20,
01000334,8.25,9.25,,,8.58,8.25,[],8.80,8.25,,,8.20,
01000335,5.25,9.00,,,7.50,8.25,[],7.80,5.75,,,5.40,
01000336,7.50,8.00,,,8.08,8.75,[],8.60,8.25,,,7.40,
01000337,5.25,,,,,4.75,[],,4.25,,,6.60,
01000338,5.25,7.50,,,6.17,5.75,[],8.20,8.00,,,6.40,
01000339,6.00,,,,,4.25,[],,2.50,,,,
01000340,,,6.00,5.67,,,[],9.20,6.75,,5.00,7.40,6.00
01000341,6.50,8.50,,,7.42,7.25,[],7.40,7.00,,,7.20,
01000342,5.25,8.00,,,5.75,4.00,[],3.00,4.50,,,3.00,
01000343,7.00,,,,,7.50,[],,6.00,,,,
01000344,9.25,9.00,,,9.25,9.50,[],9.40,9.00,,,9.20,
01000345,6.00,7.00,,,6.67,7.00,[],7.80,8.50,,,7.80,
01000346,6.50,7.50,,,7.17,7.50,[],8.60,7.50,,,7.40,
01000347,7.25,8.75,,,8.00,8.00,[],5.40,7.00,,,5.60,
01000348,8.00,8.00,,,8.08,8.25,[],8.00,7.50,,,8.20,
01000349,6.25,8.25,,,7.17,7.00,[],6.60,5.00,,,7.00,
01000350,8.75,9.00,,,8.83,8.75,[],6.80,8.75,,,7.20,
01000351,6.00,8.50,,,6.58,5.25,[],6.60,8.50,,,8.00,
01000352,7.00,8.50,,,7.33,6.50,[],7.40,7.00,,,7.40,
01000353,5.25,7.50,,,6.25,6.00,[],7.00,7.50,,,8.60,
01000354,6.75,8.25,,,7.42,7.25,[],6.80,7.50,,,7.60,
01000355,5.00,,,,,3.00,[],,3.50,,,,
01000356,6.50,8.50,,,6.83,5.50,[],6.60,6.25,,,6.60,
01000357,7.25,7.75,,,7.75,8.25,[],6.00,7.00,,,6.40,
01000358,7.00,8.00,,,7.17,6.50,[],7.20,7.50,,,7.40,
01000359,7.25,8.00,,,7.42,7.00,[],8.60,8.00,,,8.20,
01000360,,,,,,,[],6.60,,,,7.60,7.50
01000361,5.50,4.25,,,5.67,7.25,[],3.40,6.75,,,4.00,
